code,name,description,refreshed_at,from_date,to_date
CME_0D1,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #1 (0D1) (Front Month)","Historical Futures Prices: Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:09,2014-02-18,2020-02-19
CME_0D2,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #2 (0D2)","Historical Futures Prices: Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:09,2014-02-18,2020-02-19
CME_0D3,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #3 (0D3)","Historical Futures Prices: Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:09,2014-02-18,2020-02-19
CME_0D4,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #4 (0D4)","Historical Futures Prices: Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:09,2014-02-18,2020-02-19
CME_0D5,"Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #5 (0D5)","Historical Futures Prices: Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:09,2014-02-18,2020-02-19
CME_0F1,"Mini Singapore Fuel Oil 180 cst (Platts) Futures, Continuous Contract #1 (0F1) (Front Month)","Historical Futures Prices: Mini Singapore Fuel Oil 180 cst (Platts) Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-02-18,2020-02-19
CME_0F2,"Mini Singapore Fuel Oil 180 cst (Platts) Futures, Continuous Contract #2 (0F2)","Historical Futures Prices: Mini Singapore Fuel Oil 180 cst (Platts) Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-02-18,2020-02-19
CME_1N1,"Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #1 (1N1) (Front Month)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:08,2014-02-18,2020-02-19
CME_1N2,"Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #2 (1N2)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:08,2014-02-18,2020-02-19
CME_1N3,"Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #3 (1N3)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:08,2014-02-18,2020-02-19
CME_1N4,"Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #4 (1N4)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:27:08,2014-02-18,2020-02-19
CME_1NB1,"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #1 (1NB1) (Front Month)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-02-18,2020-02-19
CME_1NB2,"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #2 (1NB2)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-02-18,2020-02-19
CME_1NB3,"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #3 (1NB3)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-02-18,2020-02-19
CME_1NB4,"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #4 (1NB4)","Historical Futures Prices: Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-02-18,2020-02-19
CME_1R1,"Propane Non-LDH Mont Belvieu (OPIS) Futures, Continuous Contract #1 (1R1) (Front Month)","Historical Futures Prices: Propane Non-LDH Mont Belvieu (OPIS) Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-03-05,2020-02-19
CME_1R2,"Propane Non-LDH Mont Belvieu (OPIS) Futures, Continuous Contract #2 (1R2)","Historical Futures Prices: Propane Non-LDH Mont Belvieu (OPIS) Futures, Continuous Contract #2. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2020-02-20 03:26:29,2014-03-05,2020-02-19
CME_1U1,"NY Jet Fuel (Platts) vs. NY Harbor ULSD Futures, Continuous Contract #1 (1U1) (Front Month)","Historical Futures Prices: NY Jet Fuel (Platts) vs. NY Harbor ULSD Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2017-12-09 03:26:17,2014-03-05,2017-12-06
